,Head,Power
0,0.0,0.0
1,370.0,53.0
2,375.0,54.0
3,380.0,54.0
4,385.0,54.0
5,390.0,54.0
6,395.0,54.0
7,400.0,54.0
8,405.0,54.0
9,410.0,54.0
10,415.0,57.0
11,420.0,57.0
12,425.0,66.0
13,430.0,67.0
14,435.0,67.0
15,440.0,67.0
16,445.0,67.0
17,450.0,67.0
18,455.0,67.0
19,460.0,67.0
20,465.0,67.0
21,470.0,67.0
