,Head,Power
0,0.0,0.0
1,370.0,64.0
2,375.0,66.0
3,380.0,67.0
4,385.0,69.0
5,390.0,70.0
6,395.0,72.0
7,400.0,72.0
8,405.0,72.0
9,410.0,72.0
10,415.0,72.0
11,420.0,72.0
12,425.0,72.0
13,430.0,72.0
14,435.0,72.0
15,440.0,72.0
16,445.0,72.0
17,450.0,72.0
18,455.0,72.0
19,460.0,72.0
20,465.0,72.0
21,470.0,72.0
