,Head,Power
0,0.0,0.0
1,185.0,1.7
2,190.0,1.7
3,200.0,2.2
4,210.0,2.7
5,220.0,3.2
6,230.0,3.6
7,240.0,3.9
8,250.0,4.2
9,260.0,4.6
10,270.0,4.9
11,280.0,5.3
12,290.0,5.7
13,300.0,6.1
14,310.0,6.1
15,320.0,6.1
16,330.0,6.1
17,335.0,6.1
