,Head,Flow
0,0.0,0.0
1,185.0,177.11
2,190.0,171.94
3,200.0,198.57
4,210.0,223.06
5,220.0,245.69
6,230.0,260.14
7,240.0,266.62
8,250.0,273.29
9,260.0,284.49
10,270.0,289.68
11,280.0,298.49
12,290.0,305.72
13,300.0,311.24
14,310.0,303.43
15,320.0,296.28
16,330.0,289.69
17,335.0,286.52
