,Head,Flow
0,0.0,0.0
1,370.0,1984.6
2,375.0,2026.31
3,380.0,1990.13
4,385.0,1948.4
5,390.0,1910.77
6,395.0,1876.04
7,400.0,1844.22
8,405.0,1814.5
9,410.0,1776.1
10,415.0,1872.08
11,420.0,1844.89
12,425.0,2193.98
13,430.0,2197.01
14,435.0,2154.4
15,440.0,2114.79
16,445.0,2077.61
17,450.0,2046.38
18,455.0,2014.28
19,460.0,1971.69
20,465.0,1949.8
21,470.0,1924.63
